Vehicle[ID:1, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:3, Color:Blue, Type:SEDAN, Station:1, Worker:0, Belt Position:0]
Vehicle[ID:4, Color:Green, Type:SEDAN, Station:3, Worker:0, Belt Position:3]
Vehicle[ID:2, Color:Red, Type:SUV, Station:2, Worker:0, Belt Position:0]
Vehicle[ID:5, Color:Blue, Type:SUV, Station:3, Worker:1, Belt Position:4]
Vehicle[ID:7, Color:Green, Type:SUV, Station:0, Worker:1, Belt Position:5]
Vehicle[ID:6, Color:Blue, Type:SUV, Station:2, Worker:1, Belt Position:4]
Vehicle[ID:9, Color:Green, Type:SEDAN, Station:3, Worker:2, Belt Position:8]
Vehicle[ID:8, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:7]
Vehicle[ID:11, Color:Green, Type:SEDAN, Station:2, Worker:2, Belt Position:10]
Vehicle[ID:10, Color:Blue, Type:SEDAN, Station:0, Worker:2, Belt Position:9]
Vehicle[ID:14, Color:Red, Type:SEDAN, Station:2, Worker:4, Belt Position:13]
Vehicle[ID:12, Color:Blue, Type:SUV, Station:1, Worker:2, Belt Position:11]
Vehicle[ID:15, Color:Blue, Type:SEDAN, Station:0, Worker:3, Belt Position:14]
Vehicle[ID:13, Color:Blue, Type:SEDAN, Station:3, Worker:3, Belt Position:11]
Vehicle[ID:16, Color:Red, Type:SEDAN, Station:2, Worker:3, Belt Position:15]
Vehicle[ID:17, Color:Green, Type:SEDAN, Station:1, Worker:3, Belt Position:16]
Vehicle[ID:19, Color:Blue, Type:SEDAN, Station:3, Worker:4, Belt Position:18]
Vehicle[ID:18, Color:Red, Type:SEDAN, Station:0, Worker:4, Belt Position:17]
Vehicle[ID:20, Color:Green, Type:SEDAN, Station:1, Worker:4, Belt Position:19]
Vehicle[ID:22, Color:Green, Type:SEDAN, Station:0, Worker:1, Belt Position:20]
Vehicle[ID:24, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:22]
Vehicle[ID:23, Color:Green, Type:SUV, Station:3, Worker:1, Belt Position:20]
Vehicle[ID:25, Color:Green, Type:SUV, Station:0, Worker:0, Belt Position:23]
Vehicle[ID:26, Color:Green, Type:SUV, Station:1, Worker:2, Belt Position:24]
Vehicle[ID:27, Color:Blue, Type:SUV, Station:3, Worker:0, Belt Position:25]
Vehicle[ID:28, Color:Green, Type:SUV, Station:0, Worker:3, Belt Position:26]
Vehicle[ID:29, Color:Red, Type:SEDAN, Station:3, Worker:3, Belt Position:27]
Vehicle[ID:31, Color:Blue, Type:SUV, Station:0, Worker:2, Belt Position:29]
Vehicle[ID:30, Color:Blue, Type:SUV, Station:1, Worker:1, Belt Position:28]
Vehicle[ID:32, Color:Red, Type:SUV, Station:3, Worker:2, Belt Position:30]
Vehicle[ID:21, Color:Green, Type:SEDAN, Station:2, Worker:1, Belt Position:20]
