Vehicle[ID:1, Color:Blue, Type:SEDAN, Station:0, Worker:0, Belt Position:0], Store: B, Store Belt Position: 0
Vehicle[ID:2, Color:Blue, Type:SUV, Station:1, Worker:1, Belt Position:0], Store: A, Store Belt Position: 0
Vehicle[ID:3, Color:Green, Type:SUV, Station:2, Worker:0, Belt Position:0], Store: C, Store Belt Position: 0
Vehicle[ID:4, Color:Green, Type:SEDAN, Station:3, Worker:1, Belt Position:3], Store: B, Store Belt Position: 0
Vehicle[ID:5, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:4], Store: C, Store Belt Position: 0
Vehicle[ID:6, Color:Green, Type:SEDAN, Station:0, Worker:1, Belt Position:4], Store: A, Store Belt Position: 0
Vehicle[ID:7, Color:Blue, Type:SUV, Station:3, Worker:0, Belt Position:6], Store: B, Store Belt Position: 0
Vehicle[ID:8, Color:Blue, Type:SEDAN, Station:2, Worker:1, Belt Position:7], Store: C, Store Belt Position: 0
Vehicle[ID:9, Color:Blue, Type:SUV, Station:1, Worker:2, Belt Position:8], Store: A, Store Belt Position: 0
Vehicle[ID:10, Color:Red, Type:SUV, Station:2, Worker:2, Belt Position:9], Store: B, Store Belt Position: 0
Vehicle[ID:11, Color:Blue, Type:SUV, Station:3, Worker:3, Belt Position:10], Store: C, Store Belt Position: 0
Vehicle[ID:12, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:11], Store: A, Store Belt Position: 0
Vehicle[ID:13, Color:Red, Type:SUV, Station:1, Worker:3, Belt Position:12], Store: B, Store Belt Position: 0
Vehicle[ID:14, Color:Green, Type:SEDAN, Station:2, Worker:3, Belt Position:13], Store: C, Store Belt Position: 0
Vehicle[ID:15, Color:Green, Type:SEDAN, Station:3, Worker:2, Belt Position:14], Store: A, Store Belt Position: 0
Vehicle[ID:16, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:15], Store: B, Store Belt Position: 0
Vehicle[ID:17, Color:Green, Type:SUV, Station:2, Worker:4, Belt Position:16], Store: C, Store Belt Position: 0
Vehicle[ID:18, Color:Green, Type:SEDAN, Station:3, Worker:4, Belt Position:17], Store: A, Store Belt Position: 0
Vehicle[ID:19, Color:Green, Type:SEDAN, Station:0, Worker:4, Belt Position:18], Store: B, Store Belt Position: 0
Vehicle[ID:20, Color:Green, Type:SUV, Station:1, Worker:4, Belt Position:19], Store: C, Store Belt Position: 0
Vehicle[ID:23, Color:Green, Type:SUV, Station:2, Worker:2, Belt Position:14], Store: A, Store Belt Position: 0
Vehicle[ID:22, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:14], Store: B, Store Belt Position: 0
Vehicle[ID:24, Color:Blue, Type:SEDAN, Station:1, Worker:3, Belt Position:15], Store: A, Store Belt Position: 0
Vehicle[ID:25, Color:Red, Type:SUV, Station:0, Worker:3, Belt Position:17], Store: C, Store Belt Position: 0
Vehicle[ID:26, Color:Green, Type:SEDAN, Station:2, Worker:4, Belt Position:18], Store: B, Store Belt Position: 0
Vehicle[ID:27, Color:Blue, Type:SEDAN, Station:1, Worker:2, Belt Position:19], Store: A, Store Belt Position: 0
Vehicle[ID:28, Color:Green, Type:SUV, Station:0, Worker:2, Belt Position:20], Store: C, Store Belt Position: 0
Vehicle[ID:29, Color:Green, Type:SEDAN, Station:2, Worker:3, Belt Position:21], Store: B, Store Belt Position: 0
Vehicle[ID:30, Color:Blue, Type:SEDAN, Station:1, Worker:1, Belt Position:22], Store: A, Store Belt Position: 0
Vehicle[ID:31, Color:Red, Type:SEDAN, Station:0, Worker:1, Belt Position:23], Store: C, Store Belt Position: 0
Vehicle[ID:32, Color:Red, Type:SEDAN, Station:2, Worker:1, Belt Position:24], Store: B, Store Belt Position: 0
Vehicle[ID:33, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:25], Store: A, Store Belt Position: 0
Vehicle[ID:34, Color:Red, Type:SUV, Station:0, Worker:0, Belt Position:26], Store: C, Store Belt Position: 0
Vehicle[ID:35, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:27], Store: B, Store Belt Position: 0
Vehicle[ID:21, Color:Blue, Type:SUV, Station:3, Worker:4, Belt Position:14], Store: A, Store Belt Position: 0
Vehicle[ID:36, Color:Blue, Type:SEDAN, Station:3, Worker:2, Belt Position:29], Store: C, Store Belt Position: 0
Vehicle[ID:37, Color:Green, Type:SEDAN, Station:3, Worker:3, Belt Position:30], Store: B, Store Belt Position: 0
Vehicle[ID:38, Color:Blue, Type:SUV, Station:3, Worker:1, Belt Position:31], Store: A, Store Belt Position: 0
Vehicle[ID:39, Color:Red, Type:SUV, Station:3, Worker:0, Belt Position:32], Store: C, Store Belt Position: 0
Vehicle[ID:40, Color:Red, Type:SUV, Station:1, Worker:4, Belt Position:33], Store: B, Store Belt Position: 0
Vehicle[ID:41, Color:Green, Type:SEDAN, Station:0, Worker:4, Belt Position:31], Store: A, Store Belt Position: 0
Vehicle[ID:42, Color:Red, Type:SEDAN, Station:2, Worker:2, Belt Position:32], Store: C, Store Belt Position: 0
Vehicle[ID:43, Color:Red, Type:SUV, Station:1, Worker:3, Belt Position:33], Store: B, Store Belt Position: 0
Vehicle[ID:44, Color:Green, Type:SUV, Station:2, Worker:4, Belt Position:34], Store: A, Store Belt Position: 0
Vehicle[ID:45, Color:Green, Type:SUV, Station:0, Worker:3, Belt Position:34], Store: C, Store Belt Position: 0
Vehicle[ID:46, Color:Red, Type:SUV, Station:0, Worker:2, Belt Position:36], Store: B, Store Belt Position: 0
Vehicle[ID:47, Color:Green, Type:SUV, Station:1, Worker:2, Belt Position:36], Store: A, Store Belt Position: 0
Vehicle[ID:48, Color:Green, Type:SUV, Station:0, Worker:1, Belt Position:38], Store: C, Store Belt Position: 0
Vehicle[ID:49, Color:Green, Type:SEDAN, Station:2, Worker:3, Belt Position:38], Store: B, Store Belt Position: 0
Vehicle[ID:50, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:39], Store: A, Store Belt Position: 0
Vehicle[ID:51, Color:Blue, Type:SEDAN, Station:2, Worker:1, Belt Position:40], Store: C, Store Belt Position: 0
Vehicle[ID:52, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:40], Store: B, Store Belt Position: 0
Vehicle[ID:53, Color:Red, Type:SUV, Station:0, Worker:0, Belt Position:40], Store: A, Store Belt Position: 0
Vehicle[ID:54, Color:Blue, Type:SUV, Station:1, Worker:0, Belt Position:40], Store: C, Store Belt Position: 0
Vehicle[ID:55, Color:Red, Type:SUV, Station:2, Worker:0, Belt Position:40], Store: B, Store Belt Position: 0
Vehicle[ID:56, Color:Red, Type:SUV, Station:3, Worker:2, Belt Position:40], Store: A, Store Belt Position: 0
Vehicle[ID:57, Color:Blue, Type:SUV, Station:0, Worker:4, Belt Position:40], Store: C, Store Belt Position: 0
Vehicle[ID:58, Color:Red, Type:SEDAN, Station:1, Worker:4, Belt Position:40], Store: B, Store Belt Position: 1
Vehicle[ID:59, Color:Blue, Type:SEDAN, Station:2, Worker:4, Belt Position:40], Store: A, Store Belt Position: 0
Vehicle[ID:60, Color:Green, Type:SEDAN, Station:3, Worker:3, Belt Position:40], Store: C, Store Belt Position: 1
Vehicle[ID:61, Color:Red, Type:SEDAN, Station:0, Worker:3, Belt Position:40], Store: B, Store Belt Position: 1
Vehicle[ID:62, Color:Red, Type:SUV, Station:1, Worker:3, Belt Position:40], Store: A, Store Belt Position: 0
Vehicle[ID:63, Color:Blue, Type:SEDAN, Station:2, Worker:2, Belt Position:40], Store: C, Store Belt Position: 1
Vehicle[ID:64, Color:Blue, Type:SUV, Station:3, Worker:1, Belt Position:40], Store: B, Store Belt Position: 2
Vehicle[ID:65, Color:Blue, Type:SUV, Station:0, Worker:2, Belt Position:40], Store: A, Store Belt Position: 0
Vehicle[ID:66, Color:Red, Type:SUV, Station:1, Worker:2, Belt Position:40], Store: C, Store Belt Position: 2
